epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4988,2.76058,3.8943,2.63436,0.00481,0.35,0.02828,0.00702,2.19218,4.33433,2.3469,0.00010002,0.00010002,0.00010002
2,139.542,2.33625,3.42769,2.28097,0.00529,0.425,0.06426,0.01836,1.90012,4.02517,2.22675,0.000212419,0.000212419,0.000212419
3,238.464,2.10503,2.69225,2.01477,0.00551,0.45,0.08755,0.02382,1.78763,3.78476,2.07737,0.000320197,0.000320197,0.000320197
4,312.466,1.90571,2.46639,1.85122,0.00564,0.425,0.15433,0.03314,1.8649,3.7448,2.22293,0.000423355,0.000423355,0.000423355
5,342.73,1.84156,2.18822,1.77221,0.89952,0.09952,0.23613,0.11058,1.96804,3.36439,2.00396,0.000521891,0.000521891,0.000521891
6,370.693,1.75226,2.01279,1.67122,0.61969,0.3,0.19853,0.08499,1.71321,3.30879,1.71552,0.000615806,0.000615806,0.000615806
7,415.104,1.73698,1.93039,1.64739,0.95648,0.275,0.32487,0.13563,1.81033,2.89737,1.77949,0.000705101,0.000705101,0.000705101
8,497.441,1.62707,1.9203,1.57092,0.82942,0.1,0.27084,0.1079,1.98889,2.97001,1.87604,0.000789775,0.000789775,0.000789775
9,570.514,1.61339,1.84336,1.51957,0.90552,0.21519,0.27194,0.10924,2.00809,2.88457,1.82821,0.000869827,0.000869827,0.000869827
10,643.546,1.55609,1.74221,1.52638,0.74284,0.25997,0.24419,0.09632,1.99664,2.88007,1.89955,0.000945259,0.000945259,0.000945259
11,713.166,1.61681,1.75848,1.53872,0.85583,0.3,0.33083,0.15488,1.92583,2.48995,1.74467,0.00101607,0.00101607,0.00101607
12,782.321,1.59883,1.70249,1.50853,0.92251,0.27279,0.31412,0.0813,2.22013,2.78579,1.95954,0.00108226,0.00108226,0.00108226
13,852.159,1.4971,1.54856,1.42816,0.83373,0.3,0.36294,0.11754,2.29833,2.44522,2.07135,0.00114383,0.00114383,0.00114383
