epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0583,2.76622,3.8953,2.64898,0.00483,0.35,0.02702,0.00652,2.20728,4.27704,2.35582,0.00010002,0.00010002,0.00010002
2,143.372,2.33938,3.42533,2.30862,0.00472,0.375,0.02794,0.0093,1.91193,4.0791,2.23562,0.000214565,0.000214565,0.000214565
3,215.041,2.05326,2.64665,2.01802,0.00544,0.425,0.10173,0.03303,1.66842,3.81664,2.0409,0.000326799,0.000326799,0.000326799
4,257.5,1.88115,2.49424,1.8658,0.00482,0.35,0.15498,0.04076,1.82458,3.8281,2.11854,0.000436722,0.000436722,0.000436722
5,318.129,1.80485,2.21812,1.76738,0.80438,0.11742,0.16641,0.06201,1.84241,3.44162,1.91448,0.000544336,0.000544336,0.000544336
6,371.405,1.71731,2.01478,1.66092,0.81957,0.125,0.18366,0.06086,1.94589,3.45466,2.00543,0.000649638,0.000649638,0.000649638
7,411.028,1.68253,1.89765,1.61196,1,0.10014,0.23842,0.08104,2.03307,3.10129,2.06974,0.00075263,0.00075263,0.00075263
8,448.762,1.6468,1.88329,1.58299,0.58235,0.175,0.07722,0.03139,1.87809,3.14966,1.87006,0.000853312,0.000853312,0.000853312
9,496.85,1.58894,1.79683,1.52877,0.90655,0.175,0.24268,0.09024,1.81615,2.77508,1.90844,0.000951684,0.000951684,0.000951684
10,575.873,1.54981,1.6909,1.56118,0.71909,0.21479,0.2199,0.07917,1.96815,2.93403,2.05221,0.00104774,0.00104774,0.00104774
11,655.052,1.64939,1.78493,1.58503,0.87024,0.28571,0.36396,0.13437,1.98602,2.71897,1.97089,0.00114149,0.00114149,0.00114149
12,723.654,1.64399,1.69993,1.52902,0.81818,0.35,0.27485,0.09451,2.02777,2.69058,1.90392,0.00123293,0.00123293,0.00123293
13,809.979,1.49423,1.51872,1.46148,0.82056,0.375,0.34964,0.12631,2.05451,2.36792,2.10301,0.00132206,0.00132206,0.00132206
14,876.294,1.58095,1.6529,1.52663,0.82456,0.23158,0.29491,0.1191,2.3371,2.50039,2.44094,0.00140888,0.00140888,0.00140888
15,949.066,1.50783,1.47488,1.49658,0.95298,0.325,0.37092,0.17818,2.04541,2.03482,1.94988,0.00143595,0.00143595,0.00143595
16,1014.4,1.48498,1.44697,1.45692,0.89917,0.29708,0.31354,0.14798,2.11032,2.2295,1.85863,0.00141945,0.00141945,0.00141945
17,1077.21,1.42654,1.38977,1.40678,0.71406,0.3,0.22661,0.0888,2.13271,2.62607,1.90062,0.00140295,0.00140295,0.00140295
18,1148.43,1.43251,1.35256,1.42133,0.73815,0.175,0.17069,0.0653,2.28917,3.20833,2.28684,0.00138644,0.00138644,0.00138644
19,1221.94,1.35555,1.36467,1.39797,0.59033,0.225,0.09394,0.03448,2.11029,3.92327,2.18497,0.00136994,0.00136994,0.00136994
20,1327.82,1.33832,1.2976,1.34034,0.74073,0.275,0.21214,0.07703,1.95809,2.95852,1.92567,0.00135344,0.00135344,0.00135344
21,1386.35,1.2891,1.15884,1.31172,0.7994,0.26156,0.23845,0.09846,1.94087,2.71623,1.97226,0.00133693,0.00133693,0.00133693
